timestamp,value
1533922200,87
1533922500,81
1533922800,125
1533923100,75
1533923400,80
1533923700,87
1533924000,75
1533924300,86
1533924600,69
1533924900,60
1533925200,41
1533925500,54
1533925800,46
1533926100,43
1533926400,54
1533926700,58
1533927000,40
1533927300,45
1533927600,41
1533927900,54
1533928200,39
1533928500,49
1533928800,35
1533929100,58
1533929400,42
1533929700,31
1533930000,37
1533930300,30
1533930600,29
1533930900,32
1533931200,23
1533931500,25
1533931800,23
1533932100,53
1533932400,41
1533932700,38
1533933000,30
1533933300,38
1533933600,32
1533933900,60
1533934200,41
1533934500,33
1533934800,42
1533935100,55
1533935400,65
1533935700,46
1533936000,43
1533936300,69
1533936600,88
1533936900,75
1533937200,83
1533937500,65
1533937800,93
1533938100,81
1533938400,100
1533938700,119
1533939000,103
1533939300,148
1533939600,154
1533939900,143
1533940200,152
1533940500,206
1533940800,171
1533941100,215
1533941400,200
1533941700,242
1533942000,230
1533942300,237
1533942600,277
1533942900,270
1533943200,245
1533943500,251
1533943800,291
1533944100,279
1533944400,317
1533944700,290
1533945000,354
1533945300,346
1533945600,309
1533945900,341
1533946200,391
1533946500,346
1533946800,394
1533947100,395
1533947400,381
1533947700,428
1533948000,482
1533948300,456
1533948600,398
1533948900,484
1533949200,385
1533949500,441
1533949800,442
1533950100,465
1533950400,461
1533950700,457
1533951000,398
1533951300,455
1533951600,474
1533951900,512
1533952200,472
1533952500,488
1533952800,529
1533953100,467
1533953400,569
1533953700,536
1533954000,546
1533954300,505
1533954600,519
1533954900,516
1533955200,551
1533955500,625
1533955800,562
1533956100,568
1533956400,530
1533956700,601
1533957000,492
1533957300,569
1533957600,522
1533957900,506
1533958200,571
1533958500,559
1533958800,590
1533959100,612
1533959400,637
1533959700,660
1533960000,633
1533960300,601
1533960600,578
1533960900,621
1533961200,675
1533961500,622
1533961800,636
1533962100,711
1533962400,614
1533962700,709
1533963000,584
1533963300,589
1533963600,565
1533963900,589
1533964200,596
1533964500,595
1533964800,615
1533965100,575
1533965400,534
1533965700,555
1533966000,583
1533966300,594
1533966600,560
1533966900,614
1533967200,537
1533967500,561
1533967800,572
1533968100,567
1533968400,640
1533968700,594
1533969000,518
1533969300,581
1533969600,536
1533969900,576
1533970200,552
1533970500,556
1533970800,507
1533971100,583
1533971400,568
1533971700,621
1533972000,628
1533972300,569
1533972600,598
1533972900,593
1533973200,497
1533973500,603
1533973800,553
1533974100,503
1533974400,682
1533974700,590
1533975000,716
1533975300,617
1533975600,575
1533975900,616
1533976200,636
1533976500,621
1533976800,597
1533977100,684
1533977400,655
1533977700,681
1533978000,628
1533978300,640
1533978600,734
1533978900,704
1533979200,620
1533979500,611
1533979800,673
1533980100,646
1533980400,704
1533980700,658
1533981000,658
1533981300,712
1533981600,658
1533981900,690
1533982200,728
1533982500,719
1533982800,802
1533983100,821
1533983400,845
1533983700,754
1533984000,818
1533984300,879
1533984600,758
1533984900,786
1533985200,835
1533985500,828
1533985800,905
1533986100,880
1533986400,837
1533986700,913
1533987000,962
1533987300,939
1533987600,956
1533987900,881
1533988200,974
1533988500,1040
1533988800,969
1533989100,926
1533989400,995
1533989700,1021
1533990000,1049
1533990300,1002
1533990600,1058
1533990900,1020
1533991200,969
1533991500,997
1533991800,1089
1533992100,1076
1533992400,1102
1533992700,1098
1533993000,1012
1533993300,1097
1533993600,1034
1533993900,1128
1533994200,1119
1533994500,1075
1533994800,1112
1533995100,1071
1533995400,1124
1533995700,1140
1533996000,1103
1533996300,1130
1533996600,958
1533996900,1207
1533997200,998
1533997500,934
1533997800,893
1533998100,881
1533998400,789
1533998700,871
1533999000,793
1533999300,779
1533999600,786
1533999900,782
1534000200,679
1534000500,613
1534000800,699
1534001100,652
1534001400,626
1534001700,588
1534002000,513
1534002300,534
1534002600,505
1534002900,474
1534003200,88
1534003500,91
1534003800,133
1534004100,119
1534004400,113
1534004700,112
1534005000,94
1534005300,112
1534005600,134
1534005900,118
1534006200,92
1534006500,107
1534006800,113
1534007100,109
1534007400,97
1534007700,88
1534008000,96
1534008300,95
1534008600,99
1534008900,68
1534009200,77
1534009500,90
1534009800,99
1534010100,59
1534010400,63
1534010700,63
1534011000,68
1534011300,77
1534011600,50
1534011900,50
1534012200,69
1534012500,57
1534012800,63
1534013100,38
1534013400,41
1534013700,42
1534014000,46
1534014300,37
1534014600,31
1534014900,31
1534015200,56
1534015500,38
1534015800,42
1534016100,39
1534016400,48
1534016700,50
1534017000,34
1534017300,31
1534017600,25
1534017900,41
1534018200,39
1534018500,31
1534018800,31
1534019100,33
1534019400,25
1534019700,19
1534020000,36
1534020300,25
1534020600,47
1534020900,32
1534021200,44
1534021500,36
1534021800,47
1534022100,59
1534022400,66
1534022700,72
1534023000,67
1534023300,62
1534023600,66
1534023900,103
1534024200,94
1534024500,102
1534024800,86
1534025100,99
1534025400,109
1534025700,119
1534026000,99
1534026300,117
1534026600,119
1534026900,126
1534027200,125
1534027500,191
